rocket,payloads,launchpad,cores,flight_number,date_utc,date,PayloadMass
5e9d0d95eda69973a809d1ec,5eb0e4c6b6c3bb0006eeb21b,5e9e4501f509094ba4566f84,"{'core': '5e9e28a3f3591811f83b2648', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'Ocean', 'landpad': None}",54,2018-01-31T21:25:00.000Z,2018-01-31,4230.0
5e9d0d95eda69973a809d1ec,5eb0e4c7b6c3bb0006eeb21f,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359186cb73b2654', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",57,2018-03-06T05:33:00.000Z,2018-03-06,6092.0
5e9d0d95eda69973a809d1ec,5eb0e4c7b6c3bb0006eeb220,5e9e4502f509092b78566f87,"{'core': '5e9e28a4f3591843103b2650', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",58,2018-03-30T14:13:51.000Z,2018-03-30,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4c7b6c3bb0006eeb221,5e9e4501f509094ba4566f84,"{'core': '5e9e28a4f3591884ee3b264d', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",59,2018-04-02T20:30:41.000Z,2018-04-02,2760.0
5e9d0d95eda69973a809d1ec,5eb0e4c7b6c3bb0006eeb222,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f35918863d3b2655', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",60,2018-04-18T22:51:00.000Z,2018-04-18,350.0
5e9d0d95eda69973a809d1ec,5eb0e4c7b6c3bb0006eeb223,5e9e4502f509094188566f88,"{'core': '5e9e28a5f359182b023b2656', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",61,2018-05-11T20:14:00.000Z,2018-05-11,3750.0
5e9d0d95eda69973a809d1ec,5eb0e4c8b6c3bb0006eeb226,5e9e4501f509094ba4566f84,"{'core': '5e9e28a4f3591845123b264f', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",63,2018-06-04T04:45:00.000Z,2018-06-04,5383.85
5e9d0d95eda69973a809d1ec,5eb0e4c8b6c3bb0006eeb227,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f35918863d3b2655', 'flight': 2, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",64,2018-06-29T09:42:00.000Z,2018-06-29,2410.0
5e9d0d95eda69973a809d1ec,5eb0e4c8b6c3bb0006eeb228,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",65,2018-07-22T05:50:00.000Z,2018-07-22,7076.0
5e9d0d95eda69973a809d1ec,5eb0e4c9b6c3bb0006eeb229,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",66,2018-07-25T11:39:26.000Z,2018-07-25,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4c9b6c3bb0006eeb22a,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359182b023b2656', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",67,2018-08-07T05:18:00.000Z,2018-08-07,5800.0
5e9d0d95eda69973a809d1ec,5eb0e4c9b6c3bb0006eeb22b,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",68,2018-09-10T04:45:00.000Z,2018-09-10,7060.0
5e9d0d95eda69973a809d1ec,5eb0e4c9b6c3bb0006eeb22c,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}",69,2018-10-08T02:22:00.000Z,2018-10-08,2800.0
5e9d0d95eda69973a809d1ec,5eb0e4c9b6c3bb0006eeb22d,5e9e4502f509094188566f88,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",70,2018-11-15T20:46:00.000Z,2018-11-15,3000.0
5e9d0d95eda69973a809d1ec,5eb0e4c9b6c3bb0006eeb22e,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f359182b023b2656', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",71,2018-12-03T18:34:00.000Z,2018-12-03,4000.0
5e9d0d95eda69973a809d1ec,5eb0e4cab6c3bb0006eeb22f,5e9e4501f509094ba4566f84,"{'core': '5e9e28a6f359185c603b265a', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': False, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",72,2018-12-05T18:16:00.000Z,2018-12-05,2573.0
5e9d0d95eda69973a809d1ec,5eb0e4cab6c3bb0006eeb230,5e9e4501f509094ba4566f84,"{'core': '5e9e28a6f35918513b3b265b', 'flight': 1, 'gridfins': False, 'legs': False, 'reused': False, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",73,2018-12-23T13:51:00.000Z,2018-12-23,4400.0
5e9d0d95eda69973a809d1ec,5eb0e4cab6c3bb0006eeb231,5e9e4502f509092b78566f87,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3033383ecbb9e534e7cc'}",74,2019-01-11T15:31:00.000Z,2019-01-11,9600.0
5e9d0d95eda69973a809d1ec,5eb0e4cbb6c3bb0006eeb235,5e9e4502f509094188566f88,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",76,2019-03-02T07:45:00.000Z,2019-03-02,12259.0
5e9d0d95eda69973a809d1ec,5eb0e4cbb6c3bb0006eeb237,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",78,2019-05-04T06:48:00.000Z,2019-05-04,2482.0
5e9d0d95eda69973a809d1ec,5eb0e4cbb6c3bb0006eeb238,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591833b13b2659', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",79,2019-05-24T02:30:00.000Z,2019-05-24,13200.0
5e9d0d95eda69973a809d1ec,5eb0e4ccb6c3bb0006eeb239,5e9e4502f509092b78566f87,"{'core': '5e9e28a6f35918c0803b265c', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb554034e7c9'}",80,2019-06-12T14:17:00.000Z,2019-06-12,1425.0
5e9d0d95eda69973a809d1ec,5eb0e4ceb6c3bb0006eeb24a,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 2, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'RTLS', 'landpad': '5e9e3032383ecb267a34e7c7'}",82,2019-07-25T22:01:00.000Z,2019-07-25,2227.7
5e9d0d95eda69973a809d1ec,5eb0e4cfb6c3bb0006eeb24b,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f359181eed3b2657', 'flight': 3, 'gridfins': False, 'legs': False, 'reused': True, 'landing_attempt': False, 'landing_success': None, 'landing_type': None, 'landpad': None}",83,2019-08-06T22:52:00.000Z,2019-08-06,6500.0
5e9d0d95eda69973a809d1ec,5eb0e4cfb6c3bb0006eeb24c,5e9e4501f509094ba4566f84,"{'core': '5e9e28a5f3591809c03b2658', 'flight': 4, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",84,2019-11-11T14:56:00.000Z,2019-11-11,15600.0
5e9d0d95eda69973a809d1ec,5eb0e4cfb6c3bb0006eeb24d,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f359187afd3b2662', 'flight': 1, 'gridfins': True, 'legs': True, 'reused': False, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",85,2019-12-05T17:29:23.000Z,2019-12-05,5000.0
5e9d0d95eda69973a809d1ec,5eb0e4cfb6c3bb0006eeb24e,5e9e4501f509094ba4566f84,"{'core': '5e9e28a7f3591809313b2660', 'flight': 3, 'gridfins': True, 'legs': True, 'reused': True, 'landing_attempt': True, 'landing_success': True, 'landing_type': 'ASDS', 'landpad': '5e9e3032383ecb6bb234e7ca'}",86,2019-12-17T00:10:00.000Z,2019-12-17,6800.0
